GEOID,NAME,medincE,medincM
47025970800,"Census Tract 9708, Claiborne County, Tennessee",31713,10244
47025970600,"Census Tract 9706, Claiborne County, Tennessee",45797,5636
47035970501,"Census Tract 9705.01, Cumberland County, Tennessee",33929,6204
47035970502,"Census Tract 9705.02, Cumberland County, Tennessee",34799,7498
47035970601,"Census Tract 9706.01, Cumberland County, Tennessee",51541,11200
47035970602,"Census Tract 9706.02, Cumberland County, Tennessee",53990,6347
47035970603,"Census Tract 9706.03, Cumberland County, Tennessee",47361,10847
47035970701,"Census Tract 9707.01, Cumberland County, Tennessee",54458,5410
47035970702,"Census Tract 9707.02, Cumberland County, Tennessee",42246,7538
47037010106,"Census Tract 101.06, Davidson County, Tennessee",63864,4615
47037010103,"Census Tract 101.03, Davidson County, Tennessee",70341,11348
47037010104,"Census Tract 101.04, Davidson County, Tennessee",64844,17407
47037010105,"Census Tract 101.05, Davidson County, Tennessee",64688,13552
47037010202,"Census Tract 102.02, Davidson County, Tennessee",78750,6982
47037010303,"Census Tract 103.03, Davidson County, Tennessee",53143,9437
47037010601,"Census Tract 106.01, Davidson County, Tennessee",63490,8170
47037013201,"Census Tract 132.01, Davidson County, Tennessee",52478,4142
47037013202,"Census Tract 132.02, Davidson County, Tennessee",64583,6261
47037013601,"Census Tract 136.01, Davidson County, Tennessee",26946,5873
47037010201,"Census Tract 102.01, Davidson County, Tennessee",62829,8927
47037010602,"Census Tract 106.02, Davidson County, Tennessee",49242,4684
47037013602,"Census Tract 136.02, Davidson County, Tennessee",NA,NA
47037015624,"Census Tract 156.24, Davidson County, Tennessee",58850,6921
47037018203,"Census Tract 182.03, Davidson County, Tennessee",193542,35209
47105060201,"Census Tract 602.01, Loudon County, Tennessee",60206,4300
47105060202,"Census Tract 602.02, Loudon County, Tennessee",33159,6472
47105060301,"Census Tract 603.01, Loudon County, Tennessee",74694,14107
47099960402,"Census Tract 9604.02, Lawrence County, Tennessee",48063,8190
47099960502,"Census Tract 9605.02, Lawrence County, Tennessee",41739,10033
47099960501,"Census Tract 9605.01, Lawrence County, Tennessee",32701,10551
47105060302,"Census Tract 603.02, Loudon County, Tennessee",71551,9322
47105060501,"Census Tract 605.01, Loudon County, Tennessee",62460,16200
47105060502,"Census Tract 605.02, Loudon County, Tennessee",49850,9792
47107970401,"Census Tract 9704.01, McMinn County, Tennessee",39700,12866
47107970101,"Census Tract 9701.01, McMinn County, Tennessee",53306,5589
47107970102,"Census Tract 9701.02, McMinn County, Tennessee",58300,5736
47107970402,"Census Tract 9704.02, McMinn County, Tennessee",54674,9064
47109930100,"Census Tract 9301, McNairy County, Tennessee",34478,4125
47109930200,"Census Tract 9302, McNairy County, Tennessee",39087,6609
47109930300,"Census Tract 9303, McNairy County, Tennessee",36542,6129
47109930400,"Census Tract 9304, McNairy County, Tennessee",36136,10287
47109930500,"Census Tract 9305, McNairy County, Tennessee",38229,11315
47109930600,"Census Tract 9306, McNairy County, Tennessee",42208,4951
47109930700,"Census Tract 9307, McNairy County, Tennessee",42364,7067
47039955102,"Census Tract 9551.02, Decatur County, Tennessee",51116,10113
47041920101,"Census Tract 9201.01, DeKalb County, Tennessee",55391,17160
47041920102,"Census Tract 9201.02, DeKalb County, Tennessee",45448,12177
47041920200,"Census Tract 9202, DeKalb County, Tennessee",43130,6340
47041920300,"Census Tract 9203, DeKalb County, Tennessee",48029,5210
47043060401,"Census Tract 604.01, Dickson County, Tennessee",72981,19725
47043060402,"Census Tract 604.02, Dickson County, Tennessee",75527,3100
47043060501,"Census Tract 605.01, Dickson County, Tennessee",54868,8032
47043060502,"Census Tract 605.02, Dickson County, Tennessee",63472,10470
47043060601,"Census Tract 606.01, Dickson County, Tennessee",47218,10807
47043060602,"Census Tract 606.02, Dickson County, Tennessee",41771,5728
47045964900,"Census Tract 9649, Dyer County, Tennessee",51742,5979
47045964800,"Census Tract 9648, Dyer County, Tennessee",47391,10715
47047060401,"Census Tract 604.01, Fayette County, Tennessee",74167,27624
47047060402,"Census Tract 604.02, Fayette County, Tennessee",63108,12988
47047060403,"Census Tract 604.03, Fayette County, Tennessee",72778,14514
47047060404,"Census Tract 604.04, Fayette County, Tennessee",72433,4627
47047060501,"Census Tract 605.01, Fayette County, Tennessee",48267,16235
